,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
219,gtp_c,fe2_e,metsox_R_L_e,gcald_c,1odec11eg3p_c,pg140_c,g6p_c,cdpdtdecg_c,man_c,glyb_e
220,cbl1_e,9m3odcaACP_c,n6all26d_c,cdpditdecg_c,udpacgal_c,malthp_c,udcpp_c,clpni15_c,3oddecACP_c,phphhlipa_c
221,core2_rl_e,HC01104_c,r1p_c,glyclt_c,14mtpalm2eACP_c,micit_c,tagdp_D_c,1aipdecg3p_c,clpni16_c,g3pe_c
222,acald_c,hdcoa_c,8m3hnonACP_c,acg5p_c,ficytC_c,leu_L_c,adn_e,lichn_e,6a2ohxnt_c,1odec11eg3p_c
223,din_c,ser_L_c,aact_c,15dap_c,pgi16_c,clpnai15_c,prpp_c,6mheptACP_c,val_L_c,14mtpalm2eACP_c
224,thr_L_e,isobut_e,dha_c,3c4mop_c,2oph_c,fa6_c,glytyr_c,egACPm_c,1aihpdecg3p_c,ficytC_c
225,malthx_c,5aizc_c,1agpg181_c,rhcys_c,4abz_c,hexdp_c,suc6p_c,pe161_c,acACP_c,acnam_c
226,2s5epchc_c,cdpdihdecg_c,3hdecACP_c,10mtundec2eACP_c,psi14_c,1tdec7eg3p_c,so3_c,forglu_c,pg140_c,lipidX_c
227,fe2_e,duri_c,ura_c,ai17tcaacgam_c,man_c,14m3opalmACP_c,phthr_c,lcts_e,malthp_c,pgi16_c
228,hdcoa_c,ohpb_c,btal_c,pgpi16_c,3oddecACP_c,abt_c,23dhdp_c,fdp_c,prodthl_c,octdp_c
229,ser_L_c,comSScob_c,Largn_c,f6p_c,clpni16_c,fa4_c,glyb_e,g6p_c,leu_L_c,4abz_c
230,5aizc_c,2dmmq8_c,pg120_c,8mnonACP_c,thym_c,ihdcoa_c,phphhlipa_c,udcpp_c,clpnai15_c,psi14_c
231,2agpe140_c,glycogenb_c,mql8_c,2obut_c,6a2ohxnt_c,h2mb4p_c,udpacgal_c,tagdp_D_c,fa6_c,alpro_c
232,cdpdihdecg_c,4hbz_e,alltn_R_c,2omph_c,val_L_c,lys_L_e,g3pe_c,adn_e,1tdec7eg3p_c,arsenb_c
233,duri_c,r1p_c,urea_c,gmp_c,1aihpdecg3p_c,maltttr_c,1odec11eg3p_c,prpp_c,dtbt_c,man_c
234,ohpb_c,8m3hnonACP_c,n8aspmd_c,gdp_c,3hibutcoa_c,ara5p_c,14mtpalm2eACP_c,glytyr_c,14m3opalmACP_c,3oddecACP_c
235,2dmmq8_c,aact_c,cdpdhdecg_c,gtp_c,glytyr_e,salc6p_c,ficytC_c,cob_c,ppgpp_c,clpni16_c
