,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
120,glyphe_c,4adcho_c,pgp140_c,oaa_c,sT_antigen_e,pgpi17_c,dtdp4d6dg_c,ocdca_c,12dihdglyc_c,dmpp_c
121,for_e,thymd_e,orn_c,dhptd_c,pgi14_c,btn_co2_c,meoh_e,hspg_degr_2_e,gmhep7p_c,9m3odcaACP_c
122,s7p_c,glc_bD_c,thglu_c,dgtp_c,gcald_e,pre3a_c,4ampm_c,Tn_antigen_e,dmpp_c,malt_c
123,fum_c,cbp_c,skm_c,15mpalmACP_c,HC01710_c,kdolipid4_c,2p4c2me_c,gam26s_e,9m3odcaACP_c,gam6p_c
124,2mpdhl_c,h2_c,3hhdcoa_c,cbp_c,thr_L_c,leu_L_e,ppa_e,3hgACPm_c,malt_c,cit_c
125,thmpp_c,cbasp_c,1aihpdecg3p_c,cdpdaipdecg_c,3hoctaACP_c,1odecg3p_c,gmhep7p_c,phom_c,gam6p_c,4m3hhexACP_c
126,orot5p_c,34hpp_c,hexdp_c,cdpdddecg_c,oaa_c,glycogen_c,dmpp_c,23dhmb_c,cit_c,rnam_c
127,lac_L_e,2dmmq7_c,hmbil_c,34hpp_c,dhptd_c,glyphe_c,9m3odcaACP_c,r5p_c,4m3hhexACP_c,cyst_L_c
128,aicar_c,pgpi17_c,pg180_c,cbasp_c,3ohdcoa_c,14mtpentdec2eACP_c,malt_c,cobalt2_c,rnam_c,clpn140_c
129,chor_c,ocmhmxbq_c,26dap_M_c,2dmmq7_c,dgtp_c,mthgxl_c,gam6p_c,pgi15_c,cyst_L_c,dhor_S_c
130,fmnh2_c,kdolipid4_c,mal_L_c,pgpi17_c,pei14_c,s7p_c,cit_c,cdpditdecg_c,clpn140_c,sT_antigen_e
131,5mtr_c,3hdecACP_c,pgp160_c,btn_co2_c,4adcho_c,fum_c,4m3hhexACP_c,dtdp4d6dg_c,dhor_S_c,pgi14_c
132,nmn_c,leu_L_e,maltttr_c,phyQ_c,glc_bD_c,thmpp_c,cyst_L_c,gam_e,sT_antigen_e,HC01710_c
133,grdp_c,1odecg3p_c,dcdp_c,ps140_c,cbp_c,aicar_c,rnam_c,meoh_e,pgi14_c,gcald_e
134,idp_c,glycogen_c,pg120_c,3hdecACP_c,acgam_c,chor_c,clpn140_c,4ampm_c,HC01710_c,dtbt_c
135,gar_c,13mmyrsACP_c,db4p_c,1odecg3p_c,cdpdaipdecg_c,co2dam_c,dhor_S_c,2p4c2me_c,gcald_e,cholate_e
136,10fthf_c,glyphe_c,glyald_c,leu_L_e,cdpdddecg_c,5mtr_c,sT_antigen_e,ppa_e,dtbt_c,urea_c
137,glycys_c,14mtpentdec2eACP_c,succ_e,13mmyrsACP_c,34hpp_c,nmn_c,pgi14_c,gmhep7p_c,cholate_e,thr_L_c
