,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
17,val_L[e],ppa[e],ribflv[e],4abut[e],cu2[e],ribflv[e],spmd[e],na1[e],spmd[e],malt[e]
18,core2_rl[e],isobut[e],drib[e],mn2[e],strch2[e],succ[e],pb[e],arg_L[e],pb[e],spmd[e]
19,agam1b6agal[e],cit[e],mn2[e],succ[e],mantr[e],drib[e],cu2[e],malt[e],cu2[e],pb[e]
20,inost[e],pnto_R[e],succ[e],man[e],cellb[e],mn2[e],uri[e],spmd[e],uri[e],cu2[e]
21,cl[e],pi[e],ser_L[e],met_L[e],cl[e],ser_L[e],core2_rl[e],pb[e],val_L[e],uri[e]
22,glyasp[e],leu_L[e],cu2[e],pro_L[e],core2_rl[e],cu2[e],strch2[e],cu2[e],core2_rl[e],val_L[e]
23,acnam2a6agal[e],urea[e],ethso3[e],met_D[e],glyasp[e],pnto_R[e],mantr[e],uri[e],tdchola[e],core2_rl[e]
24,glyglu[e],nac[e],ppa[e],ribflv[e],bhb[e],pi[e],agam1b6agal[e],val_L[e],C02528[e],tdchola[e]
25,acgam[e],pheme[e],chol[e],sucr[e],hg2[e],na1[e],galur[e],core2_rl[e],mantr[e],C02528[e]
26,dextrin[e],na1[e],pi[e],3dhchol[e],glyglu[e],leu_L[e],cspg_b[e],mantr[e],agam1b6agal[e],mantr[e]
