,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
101,pan4p[c],1ihdecg3p[c],udcpp[c],ppap[c],10fthf[c],dtdp[c],cdpdodecg[c],malcoa[c],ps180[c],but2eACP[c]
102,no2[c],5m3ohexACP[c],ump[c],3hbcoa_R[c],pei17[c],selnp[c],ps180[c],4ampm[c],chols[c],butACP[c]
103,ACP[c],dhor_S[c],ocdcaACP[c],3hbcoa[c],pep[c],fruur[c],chols[c],ppap[c],chol[c],isocapr[c]
104,maltttr[c],itdcoa[c],gdp[c],cdpdodecg[c],malt6p[c],1ihdecg3p[c],chol[c],but2eACP[c],orot5p[c],chols[c]
105,2ddecg3p[c],1itdecg3p[c],o2[c],ps180[c],malcoa[c],5m3ohexACP[c],orot5p[c],butACP[c],dctp[c],chol[c]
106,1agpg181[c],dhlpro[c],5mta[c],orot5p[c],4ampm[c],itdcoa[c],dctp[c],isocapr[c],adphep_DD[c],orot5p[c]
107,dgdp[c],cl[c],ade[c],dctp[c],ppap[c],1itdecg3p[c],fadh2[c],cdpdodecg[c],adphep_LD[c],dctp[c]
108,ugmd[c],mg2[c],5m3hhexACP[c],met_L[c],3hbcoa_R[c],cl[c],adphep_DD[c],ps180[c],met_L[c],glyc_R[c]
109,cdpdipdecg[c],pe180[c],palmACP[c],metala[c],3hbcoa[c],2dmmq8[c],adphep_LD[c],chols[c],metala[c],pre6b[c]
110,ump[c],mn2[c],pa160[c],glyc45tcaglc[c],cdpdodecg[c],glx[c],met_L[c],chol[c],4h2oglt[c],pre8[c]
111,glypro[c],dhlam[c],cdp[c],prl45tca[c],ps180[c],mg2[c],metala[c],orot5p[c],glx[c],adphep_DD[c]
112,mg2[c],ahcys[c],12m3otridecACP[c],2agpg180[c],orot5p[c],mn2[c],mana[c],dctp[c],orn[c],adphep_LD[c]
113,4ppcys[c],dgsn[c],12m3htridecACP[c],g3pg[c],dctp[c],dhlam[c],4h2oglt[c],glyc_R[c],pa120[c],met_L[c]
114,acnam[c],f6p[c],ura[c],ai17tcaala_D[c],met_L[c],prlp[c],glx[c],pre6b[c],cdpdddecg[c],metala[c]
115,g1p[c],xu5p_D[c],trdox[c],pa120[c],metala[c],aicar[c],acgal[c],pre8[c],ai17tcaacgam[c],mana[c]
116,trdrd[c],hom_L[c],glyc_R[c],cdpdddecg[c],4h2oglt[c],f6p[c],prl45tca[c],adphep_DD[c],26dap_M[c],4h2oglt[c]
117,dutp[c],phom[c],uri[c],uacgam[c],orn[c],xu5p_D[c],orn[c],adphep_LD[c],acgam[c],glx[c]
118,glyc45tca[c],fa11[c],r1p[c],inost[c],2agpg180[c],copre4[c],pa120[c],met_L[c],urea[c],prl45tca[c]
119,fdp[c],udcpp[c],glycogenb[c],2ins[c],g3pg[c],copre5[c],cdpdddecg[c],metala[c],histd[c],orn[c]
120,val_L[c],ump[c],l2a6o[c],urea[c],2mnptl[c],hom_L[c],inost[c],mana[c],malt[c],pa120[c]
