glypro_c	pro_L_c
btd_SS_c	nadh_c
hom_L_c	nadph_c
MGlcn150_rl_e	acgam_e
pro_L_c	adp_c
nad_c	2maacoa_c
q8_c	glx_c
co2_c	fdxox_c
1ipdecg3p_c	pai15_c
cdpdhdecg_c	cmp_c
2obut_c	thmpp_c
succ_c	np2msucc_c
atp_c	4ampm_c
metala_c	met_L_c
pphn_c	co2_c
k_e	k_c
tyr_L_c	glytyr_c
acg5sa_c	nadph_c
air_c	gcald_c
h_c	5m3hhexACP_c
hcys_L_c	trdrd_c
g3pe_c	h_c
h2o_e	MGlcn78_rl_e
asn_L_c	h_e
h2o_e	sT_antigen_e
ipdcoa_c	h_c
asp_L_c	asp_L_e
h_c	2oph_c
fgam_c	fpram_c
5m3hhexACP_c	nadph_c
h_c	uamr_c
15mpalmACP_c	ihpdcoa_c
h2o_c	mantr_c
trp_L_c	adp_c
amp_c	dcamp_c
12m3hmyrsACP_c	12mtmrs2eACP_c
mqn8_c	pyr_c
pi_c	actp_c
nadp_c	4m3opentACP_c
oaa_c	coa_c
atp_c	chol_c
pep_c	g6p_c
chol_e	adp_c
h_c	10m3hundecACP_c
1ddecg3p_c	ddca_c
malACP_c	nadp_c
adp_c	pppi_c
pre3b_c	h_c
h_c	akg_c
h_c	cdpdipdecg_c
ps140_c	co2_c
dctp_c	apoACP_c
4hbutcoa_c	h2o_c
glypro_e	h_c
thf_c	mlthf_c
b2coa_c	3hbcoa_c
