2dr5p_c	acald_c
acmalt_c	malt_c
h2o_e	MGlcn116_rl_e
12dgr140_c	pa140_c
xtsn_c	r1p_c
gln_L_c	PGPm1_c
mn2_e	mn2_c
MGlcn170_e	acgam_e
pre4_c	pre5_c
h_c	ala_L_c
26dap_M_c	pi_c
dhna_c	ppi_c
h2o_c	6pgc_c
asp_L_c	succ_c
8m3hdcaACP_c	8mtdec2eACP_c
malACP_c	14m3opentdecACP_c
atp_c	lcts_c
arsenb_e	pi_c
MGlcn133_e	fuc_L_e
succ_e	h_c
ala_L_c	ACP_c
lipoate_c	ppi_c
ppp9_c	pheme_c
palmtcaacgam_c	palmtca1_c
pgai17_c	clpnai17_c
2mbutACP_c	ACP_c
ala_L_c	8aonn_c
adp_c	apoC_Lys_btn_c
glx_c	glyclt_c
alagln_c	ala_L_c
MGlcn70_e	MGlcn74_e
copre4_c	h_c
MGlcn110_e	MGlcn156_e
fadh2_c	dtmp_c
pyr_c	accoa_c
MGlcn166_e	gal_e
thf_c	adp_c
MGlcn3_e	MGlcn2_e
glyc_R_c	2h3oppan_c
8aonn_c	amob_c
zn2_c	PGPm1_c
pgi17_c	glyc_c
i15tcaacgam_c	uacgam_c
3c4mop_c	nad_c
acon_C_c	cit_c
atp_c	pai14_c
histl_L_c	histd_c
MGlcn196_e	T_antigen_e
akg_c	34hpp_c
na1_e	pi_c
accoa_c	2mmal_c
fgam_c	pi_c
tyr_L_c	PGPm1_c
dnad_c	h_c
MGlcn144_e	gal_e
myrstcaacgam_c	myrstca1_c
co2_c	cbmt_c
gncore2_rl_e	core2_rl_e
2ddglcn_c	2ddg6p_c
pydx_c	adp_c
mantr_c	melib_c
23ccmp_c	3cmp_c
codhpre6_c	copre8_c
atp_c	thmpp_c
cdp_c	h2o_c
glcur_c	fruur_c
rmn_c	rml_c
h2o_e	MGlcn76_rl_e
h2mb4p_c	h2o_c
pa140_c	cdpdtdecg_c
h_c	pi_e
pro_L_c	biomass_c
atp_c	4pasp_c
ohpb_c	4per_c
cys_L_c	biomass_c
8mnonACP_c	10m3oundecACP_c
stys_c	raffin_c
ipdp_c	frdp_c
MGlcn124_rl_e	MGlcn20_rl_e
h2o_e	MGlcn145_rl_e
adp_c	coa_c
h2o_c	k_c
alaala_c	pi_c
h_e	glu_L_c
MGlcn62_rl_e	MGlcn57_rl_e
h_c	pei16_c
arg_L_c	apoACP_c
hdca_c	ppi_c
psai17_c	co2_c
h2o_e	MGlcn10_e
egACPm_c	gACPm_c
fprica_c	imp_c
MGlcn120_e	MGlcn14_e
malt_e	h_c
hxan_c	ins_c
MGlcn173_rl_e	MGlcn163_rl_e
MGlcn32_rl_e	MGlcn83_rl_e
malt_c	glc_D_c
h2o_e	MGlcn74_rl_e
h_c	ump_c
h2o_c	fe2_c
trdrd_c	datp_c
7m3hocACP_c	h_c
