i17tcaacgam_c	h_c
atp_c	fe3_c
gtp_c	dcamp_c
pgpi16_c	pgi16_c
cit_c	acon_C_c
uacgam_c	uaccg_c
leu_L_c	4mop_c
14m3opentdecACP_c	nadp_c
nadp_c	3oddecACP_c
dcmp_c	dcdp_c
pyr_c	h2o_c
k_c	k_e
his_L_c	pi_c
ppi_c	hepdp_c
ppi_c	lipoate_c
h_c	11m3hddcaACP_c
cdpdodec11eg_c	pgp181_c
h2o_c	g3pg_c
gdp_c	amp_c
sttca1_c	pi_c
h_c	thdp_c
glyc45tcaglc_c	prl45tcaglc_c
h_c	aspsa_c
hg2_c	adp_c
4pasp_c	aspsa_c
i17tca1_c	PGPm1_c
rdmbzi_c	gmp_c
3hbcoa_c	3hbcoa_R_c
tyr_L_c	ala_L_c
leu_L_c	ppi_c
2ohph_c	h_c
ppa_c	adp_c
methf_c	mlthf_c
h2o_c	dhnpt_c
coa_c	hxcoa_c
malt6p_c	g6p_c
14mpalmACP_c	ACP_c
cmp_c	diglcpgai17_c
h2o_c	4hthr_c
nadh_c	dmpp_c
pa181_c	ppi_c
pg180_c	pi_c
cys_L_c	amp_c
gmp_c	gdp_c
adhlam_c	dhlam_c
nadh_c	coa_c
phom_c	thr_L_c
atp_c	ctp_c
1ddecg3p_c	glyc3p_c
4ppan_c	cmp_c
gly_c	gly_e
udcpdp_c	pi_c
o2_c	2mb2coa_c
fe3_c	cbi_c
but_e	but_c
met_D_e	adp_c
h2o_c	r5p_c
pgai17_c	dmbzid_c
5mhexACP_c	7m3oocACP_c
cytd_c	adp_c
13mmyrsACP_c	co2_c
h_c	3ohexACP_c
s_c	dad_5_c
h2o_c	pg141_c
ai17tca1_c	pi_c
f6p_c	nad_c
glyc_c	adp_c
r5p_c	psd5p_c
10fthf_c	adp_c
3dhcdchol_e	C02528_e
h_c	glyc_c
proteinsynth_c	pi_c
dcaACP_c	ACP_c
glu_L_c	dhf_c
thr_L_c	pi_c
8m3hnonACP_c	h_c
3mop_c	nadh_c
dhap_c	quln_c
udpg_c	g1p_c
atp_c	uaaGgtla_c
h_c	ppi_c
atp_c	xyl_D_c
prpp_c	atp_c
pro_L_c	PGPm1_c
1ddecg3p_c	pa120_c
spmd_e	pi_c
cys_L_c	PGPm1_c
2agpe161_c	hdcea_c
4c2me_c	h_c
akg_c	acamoxm_c
glyc3p_c	nadph_c
ala_L_c	apoACP_c
h_c	skm_c
nad_c	gly_c
atp_c	i17tcaala_D_c
diglcpgi17_c	i17tca1_c
ala_L_c	h_e
2mpropACP_c	ACP_c
2dr5p_c	g3p_c
2dmmq8_c	PGPm1_c
i17tcaacgam_c	uacgam_c
h_c	2dmmq7_c
adp_c	dudp_c
1agpe180_c	ocdca_c
clpni17_c	ppi_c
13m3omyrsACP_c	13m3hmyrsACP_c
trp_L_c	PGPm1_c
ipdp_c	udcpdp_c
2ameph_c	ala_L_c
aacoa_c	nad_c
sucsal_c	nadph_c
l2a6o_c	thdp_c
peai17_c	dmbzid_c
ctp_c	cdpdhdec9eg_c
gly_c	glygln_c
pep_c	pyr_c
clpn180_c	ppi_c
gthrd_c	lgt_S_c
nad_c	nadp_c
arg_L_c	nh4_c
ribflv_c	pi_c
ihdcoa_c	coa_c
nadp_c	3ooctdACP_c
cdpdihdecg_c	h_c
ai17tcaala_D_c	PGPm1_c
2agpe120_c	g3pe_c
14mpalmACP_c	aihpdcoa_c
nad_c	aacoa_c
aipdcoa_c	paai15_c
5aizc_c	25aics_c
3c2hmp_c	h_c
dudp_c	dump_c
h2o_c	hg2_e
uaagmda_c	h_c
h_c	dutp_c
nadh_c	actn_R_c
ocACP_c	co2_c
malACP_c	8m3odcaACP_c
ser_L_c	cbi_c
amet_c	phyQ_c
3hddecACP_c	tddec2eACP_c
6m3oocACP_c	nadp_c
h_c	co2_c
fe2_c	cbi_c
glyc_R_c	3pg_c
pyr_c	adhlam_c
glyc3p_c	1ddecg3p_c
udpglcur_c	nad_c
4abutn_c	h_c
h2o_c	gal_c
prpp_c	amp_c
adp_c	pyr_c
cl_c	apoACP_c
cu2_c	ppi_c
h_c	asn_L_e
utp_c	cmp_c
ipdcoa_c	coa_c
lys_L_c	biomass_c
12mtridecACP_c	14m3opentdecACP_c
trdrd_c	dutp_c
nadph_c	hom_L_c
actACP_c	3haACP_c
pant_R_c	ppi_c
pei17_c	biomass_c
acbdma14gapuc_c	unaga_c
1hdec9eg3p_c	h_c
rnam_c	r1p_c
h_c	mnl1p_c
1ddecg3p_c	h_c
mlthf_c	ser_L_c
2mbcoa_c	h2o_c
glypro_c	pro_L_c
no2_c	nad_c
hom_L_c	nadph_c
pro_L_c	adp_c
nad_c	2maacoa_c
sttca1_c	udp_c
co2_c	fdxox_c
1ipdecg3p_c	pai15_c
cdpdhdecg_c	cmp_c
2obut_c	thmpp_c
zn2_c	cbi_c
atp_c	4ampm_c
metala_c	met_L_c
pphn_c	co2_c
ala_D_c	i17tcaala_D_c
k_e	k_c
tyr_L_c	cbi_c
tyr_L_c	glytyr_c
acg5sa_c	nadph_c
air_c	gcald_c
2dmmq8_c	adp_c
h_c	5m3hhexACP_c
hcys_L_c	trdrd_c
g3pe_c	h_c
asn_L_c	h_e
ipdcoa_c	h_c
h_c	2oph_c
fgam_c	fpram_c
5m3hhexACP_c	nadph_c
h2o_c	urea_c
h_c	uamr_c
15mpalmACP_c	ihpdcoa_c
trp_L_c	adp_c
amp_c	dcamp_c
12m3hmyrsACP_c	12mtmrs2eACP_c
pi_c	actp_c
tcam_c	pi_c
nadp_c	4m3opentACP_c
oaa_c	coa_c
12dgr180_e	12dgr180_c
pep_c	g6p_c
glyc45tcaala_D_c	adp_c
h_c	10m3hundecACP_c
1ddecg3p_c	ddca_c
malACP_c	nadp_c
adp_c	pppi_c
h_c	akg_c
h_c	cdpdipdecg_c
ps140_c	co2_c
q8_c	h_c
dctp_c	apoACP_c
4hbutcoa_c	h2o_c
thf_c	mlthf_c
b2coa_c	3hbcoa_c
pi_e	adp_c
s7p_c	s17bp_c
oaa_c	cit_c
udpacgal_c	tcam_c
dgtp_c	atp_c
pgi16_c	glyc_c
ai17tcaala_D_c	adp_c
itdcoa_c	h_c
k_c	biomass_c
h_c	gthrd_c
so4_c	biomass_c
4m3hpentACP_c	h2o_c
val_L_c	PGPm1_c
tyr_L_c	34hpp_c
hco3_c	pi_c
sbt_D_e	sbt6p_c
cdpdipdecg_c	pgpi15_c
octdp_c	ppi_c
C02528_e	h_c
atp_c	pi_c
hco3_c	5aizc_c
25aics_c	fum_c
2mecdp_c	nad_c
mqn8_c	mql8_c
2agpe161_c	g3pe_c
asp_L_c	amp_c
ile_L_c	cbi_c
hcys_L_c	met_L_c
pgi14_c	clpni14_c
nadp_c	alac_S_c
cytd_c	idp_c
h2o_c	metsox_R_L_c
14m3hpentdecACP_c	nadph_c
tsul_c	cys_L_c
14m3hpalmACP_c	14mtpalm2eACP_c
atp_c	5aizc_c
akg_c	oaa_c
h2o_c	3c3hmp_c
ru5p_D_c	ara5p_c
hexACP_c	3ooctACP_c
nadh_c	Largn_c
glyc45tcaglc_c	cbi_c
1agpe120_c	h_c
gln_L_c	gmp_c
PGPm1_c	glyc45tcaglc_c
glyphe_c	phe_L_c
nadh_c	nad_c
mqn8_c	dmbzid_c
h_c	8m3odcaACP_c
h_c	3hbcoa_c
h2o_c	cbp_c
3hhexACP_c	h_c
h_c	3hocoa_c
PGP_c	biomass_c
dnad_c	glu_L_c
h_c	12m3hmyrsACP_c
ser_L_c	h2o_c
gly_c	cbi_c
5aizc_c	h_c
nad_c	tyr_L_c
gly_c	glytyr_c
nadh_c	btoh_c
dttp_c	h_c
dhap_c	h2o_c
ugmd_c	pi_c
h_c	glu5sa_c
alaglu_c	glu_L_c
xylu_D_c	xyl_D_c
asp_L_c	PGPm1_c
sheme_c	ppi_c
prl45tca_c	ppi_c
utp_c	udpg_c
glu_L_c	biomass_c
amet_c	dmbzid_c
12dgr180_c	pa180_c
fru_e	f1p_c
ibcoa_c	h2o_c
fe3_c	ppi_c
nad_c	im4ac_c
pnto_R_c	h_c
his_L_c	h_c
hco3_c	oaa_c
myrsACP_c	tdcoa_c
coa_c	stcoa_c
C02528_e	3dhcdchol_e
pgp141_c	pg141_c
ai17tcaglc_c	cbi_c
octdp_c	co2_c
icit_c	h2o_c
1agpe120_c	ddca_c
3psme_c	pep_c
arbt_e	pyr_c
butACP_c	3ohexACP_c
pi_c	cbp_c
sttca1_c	h_c
succ_c	h2o_c
tre_e	tre6p_c
val_L_e	adp_c
accoa_c	fdxox_c
atp_c	oaa_c
1tdec7eg3p_c	ACP_c
h2o_c	h2o_e
13mtmrs2eACP_c	13mmyrsACP_c
13mtmrs2eACP_c	nadp_c
h_c	ala_L_e
h2o_c	glu_L_c
cbp_c	pi_c
pi_c	pep_c
apoACP_c	ACP_c
tyr_L_c	h2o_c
o2_c	gly_c
pg180_c	h_c
thf_c	ppi_c
h_c	12m3htridecACP_c
q8_e	q8_c
nadph_c	mlthf_c
atp_c	10fthf5glu_c
dgtp_c	PGPm1_c
12ditdglyc_c	adp_c
14m3opalmACP_c	nadp_c
2agpg120_c	ddca_c
