ser_D_e	h_c
cl_c	apoACP_c
cu2_c	ppi_c
h_c	asn_L_e
h2o_c	meoh_c
MGlcn27_rl_e	fuc_L_e
glycogen_c	glycogenb_c
o2_c	co2_c
5hxudidzcba_c	alltn_R_c
ipdcoa_c	coa_c
MGlcn26_rl_e	MGlcn78_rl_e
lys_L_c	biomass_c
q8_c	fum_c
h2o_e	MGlcn143_rl_e
MGlcn50_rl_e	MGlcn22_rl_e
trdrd_c	dutp_c
nadph_c	hom_L_c
pant_R_c	ppi_c
1hdec9eg3p_c	h_c
rnam_c	r1p_c
1ddecg3p_c	h_c
mlthf_c	ser_L_c
atp_c	malthx_c
2mbcoa_c	h2o_c
glypro_c	pro_L_c
hom_L_c	nadph_c
MGlcn136_e	MGlcn19_e
pro_L_c	adp_c
MGlcn129_e	fuc_L_e
MGlcn137_e	MGlcn158_e
MGlcn38_rl_e	MGlcn84_rl_e
MGlcn90_rl_e	fuc_L_e
sttca1_c	udp_c
1ipdecg3p_c	pai15_c
cdpdhdecg_c	cmp_c
2obut_c	thmpp_c
metala_c	met_L_c
pphn_c	co2_c
k_e	k_c
tyr_L_c	glytyr_c
h_c	no2_e
hcys_L_c	trdrd_c
g3pe_c	h_c
h2o_e	MGlcn78_rl_e
asn_L_c	h_e
h2o_e	sT_antigen_e
ipdcoa_c	h_c
asp_L_c	asp_L_e
fgam_c	fpram_c
h_c	uamr_c
h2o_e	MGlcn114_e
trp_L_c	adp_c
MGlcn54_rl_e	MGlcn53_rl_e
amp_c	dcamp_c
mqn8_c	pyr_c
pi_c	actp_c
MGlcn60_e	fuc_L_e
MGlcn187_e	acnam_e
MGlcn118_e	fuc_L_e
1ddecg3p_c	ddca_c
adp_c	pppi_c
MGlcn32_rl_e	fuc_L_e
MGlcn127_e	acnam_e
MGlcn27_e	MGlcn79_e
h_c	akg_c
h_c	cdpdipdecg_c
dctp_c	apoACP_c
glypro_e	h_c
thf_c	mlthf_c
dgtp_c	atp_c
pgi16_c	glyc_c
itdcoa_c	h_c
MGlcn8_e	acnam_e
h2o_e	MGlcn18_e
MGlcn56_rl_e	MGlcn106_rl_e
atp_c	ihpdcoa_c
k_c	biomass_c
so4_c	biomass_c
val_L_c	PGPm1_c
tyr_L_c	34hpp_c
hco3_c	pi_c
MGlcn24_rl_e	fuc_L_e
cdpdipdecg_c	pgpi15_c
h2o_e	MGlcn126_e
MGlcn120_rl_e	acnam_e
octdp_c	ppi_c
gam6p_c	f6p_c
MGlcn50_rl_e	MGlcn48_rl_e
atp_c	pi_c
hco3_c	5aizc_c
25aics_c	fum_c
2mecdp_c	nad_c
mqn8_c	mql8_c
2agpe161_c	g3pe_c
arg_L_e	adp_c
h2o_e	MGlcn95_e
asp_L_c	amp_c
hcys_L_c	met_L_c
pgi14_c	clpni14_c
nadp_c	alac_S_c
cytd_c	idp_c
h2o_c	metsox_R_L_c
tsul_c	cys_L_c
MGlcn138_e	MGlcn159_e
atp_c	5aizc_c
MGlcn32_e	fuc_L_e
akg_c	oaa_c
alagly_e	alagly_c
h2o_e	MGlcn154_rl_e
h2o_c	3c3hmp_c
h_c	dhna_c
nadh_c	Largn_c
1agpe120_c	h_c
h2o_c	h2mb4p_c
h2o_e	MGlcn158_rl_e
gln_L_c	gmp_c
h2o_e	MGlcn151_e
d5kg_c	h_c
ttdca_c	ppi_c
succoa_c	sl2a6o_c
PGPm1_c	glyc45tcaglc_c
glyphe_c	phe_L_c
MGlcn144_e	fuc_L_e
nadh_c	nad_c
h2o_c	cbp_c
MGlcn112_e	MGlcn46_e
PGP_c	biomass_c
dnad_c	glu_L_c
acnam_c	acmana_c
h2o_c	melib_c
ser_L_c	h2o_c
inost_e	h_c
5aizc_c	h_c
nad_c	tyr_L_c
gly_c	glytyr_c
dttp_c	h_c
ugmd_c	pi_c
h2o_e	MGlcn145_e
fe2_c	h2o_c
h_c	glu5sa_c
alaglu_c	glu_L_c
no3_c	q8_c
