,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
141,HC01710[c],nh4[e],pgp161[c],glyclt[c],alagln[c],3oddecACP[c],cbmt[c],thp2c[c],lac_D[e],3cmp[c]
142,etha[c],dhnpt[c],pg161[c],10mundecACP[c],lipoate[c],ocdcea[c],23ccmp[c],btn[e],psai15[c],cdpdtdecg[c]
143,core2[e],10fthf5glu[c],2ddglcn[c],2agpe141[c],cdpdaipdecg[c],1hdec9eg3p[c],3cmp[c],btal[c],Naccitr_L[c],8mnonACP[c]
144,pgp161[c],ps160[c],2mahmp[c],2mop[c],T_antigen[e],acACP[c],pa140[c],ppa[e],4hbz[e],pei16[c]
145,arab_L[c],pe160[c],C11821[c],ps120[c],cbmt[c],actACP[c],cdpdtdecg[c],ps120[c],gdpfuc[c],hdca[c]
146,uaaGgla[c],pe181[c],3hmbcoa[c],HC01104[c],pa140[c],no2[e],pgpai17[c],HC01104[c],HC01652[c],psai17[c]
147,glu1sa[c],glyglu[c],ddcacoa[c],pnp[c],cdpdtdecg[c],14m3opalmACP[c],8mnonACP[c],pnp[c],HC01710[c],dpcoa[c]
148,2odec11eg3p[c],25dhpp[c],3otdcoa[c],3hmrsACP[c],pgpai17[c],4mhetz[c],pei16[c],xu1p_L[c],etha[c],12mttritec2eACP[c]
149,glyc3p[e],isocapr[e],3oocoa[c],occoa[c],8mnonACP[c],glu_L[e],hdca[c],acmama[c],psi15[c],6mthept2eACP[c]
150,btn_co2[c],gdptp[c],arsenb[e],glyglu[c],chols[e],5mdr1p[c],pgp161[c],acmam[c],gdpddman[c],10fthf5glu[c]
151,nh4[e],4m3opentACP[c],arsenb[c],metsox_R_L[e],cala[c],3htdcoa[c],psai17[c],unaga[c],peai15[c],12dgr160[c]
152,agam1b3agal[e],thdp[c],scl[c],2aobut[c],pei16[c],glyglu[c],adocbl[c],ps161[c],cro4[e],14m3hpalmACP[c]
153,thfglu[c],ru5p_L[c],copre2[c],3hmp[c],crn[e],pgp161[c],dpcoa[c],glyglu[c],uaaGgla[c],ai17tcaglc[c]
154,f1a[e],xu5p_L[c],actACP[c],glx[c],3oddcoa[c],pg161[c],12mttritec2eACP[c],pheme[c],nh4[e],ai17tca1[c]
155,xu5p_L[c],2mp2coa[c],4abut[c],tpalm2eACP[c],psai17[c],toctd2eACP[c],6mthept2eACP[c],glcn[c],galt1p[c],lac_L[c]
156,2tdec7eg3p[c],23dhdp[c],4abutn[c],3opalmACP[c],2mp2coa[c],56dthm[c],10fthf5glu[c],cob[c],ps160[c],prodthl[c]
157,dtdp4d6dm[c],pnp[c],pgp141[c],2ommb[c],3hibutcoa[c],adhlam[c],14m3hpalmACP[c],comSScob[c],pe160[c],fa3[c]
158,core6[e],cdpdhdec9eg[c],6m3hocACP[c],aso4[c],4ahmmp[c],lpam[c],ai17tcaglc[c],Tn_antigen[e],thfglu[c],odecoa[c]
159,acgal[e],pai16[c],cro4[e],aso4[e],3ohdcoa[c],2mahmp[c],ai17tca1[c],2ommb[c],adsel[c],isocapr[e]
160,man1p[c],2mb2coa[c],N1aspmd[c],3odcoa[c],dpcoa[c],C11821[c],lac_L[c],12dgr181[c],3padsel[c],isobut[c]
